stock_name,final_class,code,current_name,n_labels,years,confidence,evidence,why,note,mech_class,web_class,channels_agree,recoverable_rows
제이엔케이히터,B,126880,제이엔케이글로벌,1,2021:1,mid(웹 단독),웹:agent3,코드 126880 현재 「제이엔케이글로벌」,,C,?,,0
제주맥주,D,,,1,2022:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 3건 · 현재이름 유사 0건,,C,,,0
제주은헹,A,006220,제주은행,1,2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent1,코드 006220 현재 「제주은행」,,A,A,O,1
젬백스지오,B,041590,플래스크,2,2021:1;2022:1,mid(웹 단독),웹:agent1,코드 041590 현재 「플래스크」,,C,B,X,2
줌인터넷,B,239340,이스트에이드,5,2020:2;2021:1;2022:1;2023:1,mid(웹 단독),웹:agent2,코드 239340 현재 「이스트에이드」,,C,?,,0
지니뮤직,B,043610,KT지니뮤직,3,2021:2;2022:1,high(채널 2),문자열+웹:agent3,코드 043610 현재 「KT지니뮤직」,,B,B,O,3
지엔원에너지,B,270520,앱튼,4,2021:2;2023:2,mid(웹 단독),웹:agent1,코드 270520 현재 「앱튼」,"채널간 코드 불일치(119850,270520)",A,B,X,3
"직전고 돌파, 신고가",D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
진메트릭스,A,109820,진매트릭스,1,2020:1,high(채널 2),동일글오타쌍+웹:agent3,코드 109820 현재 「진매트릭스」,,C,A,X,0
차백신연구소,B,261780,아리바이오랩,1,2024:1,mid(웹 단독),웹:agent1,코드 261780 현재 「아리바이오랩」,,C,B,X,1
청담러닝,B,096240,크레버스,1,2021:1,mid(웹 단독),웹:agent2,코드 096240 현재 「크레버스」,,C,B,X,1
카나리아바이오,B,016790,현대사료,2,2022:1;2023:1,mid(웹 단독),웹:agent2,코드 016790 현재 「현대사료」,,C,B,X,2
컬러에이,A,900310,컬러레이,1,2020:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 900310 현재 「컬러레이」,,A,A,O,0
케이알피앤이,B,060900,에이전트AI,1,2019:1,mid(웹 단독),웹:agent1,코드 060900 현재 「에이전트AI」,,C,B,X,0
켐온,C,217600,,3,2021:1;2022:2,mid(웹 단독),웹:agent1,코드 217600 네이버 미색인 = 현재 미상장,,C,C,O,0
코리아센터,C,290510,,1,2022:1,mid(웹 단독),웹:agent2,코드 290510 네이버 미색인 = 현재 미상장,,C,?,,0
코리아에스이,B,101670,하이드로리튬,1,2022:1,mid(웹 단독),웹:agent3,코드 101670 현재 「하이드로리튬」,"채널간 코드 불일치(101670,123410)",A,?,,1
코어라인소스,A,384470,코어라인소프트,1,2023:1,high(채널 2),문자열+웹:agent1,코드 384470 현재 「코어라인소프트」,,A,A,O,1
코오롱머티리얼,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 8건 · 현재이름 유사 0건,,C,,,0
코오롱플라스틱,C,138490,,1,2021:1,mid(웹 단독),웹:agent3,코드 138490 네이버 미색인 = 현재 미상장,,C,B,X,1
코프라,B,126600,BGF에코머티리얼즈,3,2021:3,mid(웹 단독),웹:agent3,코드 126600 현재 「BGF에코머티리얼즈」,,C,B,X,1
콤텍시스템,B,031820,아이티센씨티에스,1,2019:1,mid(웹 단독),웹:agent1,코드 031820 현재 「아이티센씨티에스」,,C,B,X,0
클라우드에어,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
클리노믹스,B,352770,셀레스트라,2,2021:1;2023:1,mid(웹 단독),웹:agent1,코드 352770 현재 「셀레스트라」,,C,B,X,0
클릭스노믹스,B,352770,셀레스트라,1,2023:1,mid(웹 단독),웹:agent3,코드 352770 현재 「셀레스트라」,,C,A,X,0
태경케미칼,A,006890,태경케미컬,4,2020:2;2021:1;2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent2,코드 006890 현재 「태경케미컬」,,A,A,O,2
태평양물산,B,007980,TP,1,2022:1,mid(웹 단독),웹:agent1,코드 007980 현재 「TP」,,C,B,X,1
티플렉스,A,081150,티플랙스,5,2021:4;2023:1,high(채널 3),동일글오타쌍+문자열+웹:agent2,코드 081150 현재 「티플랙스」,,A,A,O,5
펜스타엔터프라이즈,A,054300,팬스타엔터프라이즈,1,2021:1,mid(동일글 단독),동일글오타쌍,코드 054300 현재 「팬스타엔터프라이즈」,,C,,,1
포스코 ICT,B,022100,포스코DX,1,2023:1,mid(웹 단독),웹:agent3,코드 022100 현재 「포스코DX」,,C,B,X,1
퓨닛,D,,,1,2023:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,?,,0
퓨처스트림네트웍스,D,,,1,2020:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
퓨처켐,A,220100,퓨쳐켐,1,2024:1,mid(웹 단독),웹:agent3,코드 220100 현재 「퓨쳐켐」,,C,A,X,1
플로리스AI,D,,,1,2024:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,?,,0
피비파마,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
피에이치씨,C,057880,,3,2021:1;2022:2,mid(웹 단독),웹:agent2,코드 057880 네이버 미색인 = 현재 미상장,,C,C,O,0
하이젠알엔엠,A,160190,하이젠알앤엠,1,2024:1,🟡low(문자열 단독),문자열,코드 160190 현재 「하이젠알앤엠」,,A,,,1
하이트론,B,019490,엑시큐어하이트론,1,2021:1,high(채널 2),문자열+웹:agent2,코드 019490 현재 「엑시큐어하이트론」,,B,B,O,0
하인크코리아,B,373200,엑스플러스,2,2022:2,mid(웹 단독),웹:agent3,코드 373200 현재 「엑스플러스」,,C,?,,2
한국비앤씨,A,256840,한국비엔씨,1,2021:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 256840 현재 「한국비엔씨」,,A,A,O,1
한국프랜지,B,010100,한국무브넥스,1,2021:1,mid(웹 단독),웹:agent1,코드 010100 현재 「한국무브넥스」,,C,B,X,0
한라,B,014790,HL D&I,1,2021:1,mid(웹 단독),웹:agent2,코드 014790 현재 「HL D&I」,,C,B,X,1
한솔로지틱스,A,009180,한솔로지스틱스,2,2021:1;2022:1,high(채널 2),문자열+웹:agent1,코드 009180 현재 「한솔로지스틱스」,,A,A,O,2
한송네오텍,C,226440,,2,2021:1;2022:1,mid(웹 단독),웹:agent2,코드 226440 네이버 미색인 = 현재 미상장,,C,?,,0
해성티피씨,B,059270,해성에어로보틱스,1,2022:1,mid(웹 단독),웹:agent3,코드 059270 현재 「해성에어로보틱스」,,C,?,,1
현대에너지솔루션,B,322000,HD현대에너지솔루션,1,2022:1,high(채널 2),문자열+웹:agent1,코드 322000 현재 「HD현대에너지솔루션」,,B,B,O,1
현성바이탈,D,,,1,2019:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
홈센타홀딩스,B,060560,HC홈센타,1,2021:1,mid(웹 단독),웹:agent3,코드 060560 현재 「HC홈센타」,,C,?,,1
화성산업,B,002460,HS화성,1,2021:1,mid(웹 단독),웹:agent1,코드 002460 현재 「HS화성」,,C,B,X,1
화승알엔에이,A,378850,화승알앤에이,1,2021:1,high(채널 2),동일글오타쌍+문자열,코드 378850 현재 「화승알앤에이」,,A,A,O,0
효성중고업,A,298040,효성중공업,1,2021:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 298040 현재 「효성중공업」,,A,A,O,1
효성첨단소재,B,298050,HS효성첨단소재,2,2021:2,high(채널 2),문자열+웹:agent3,코드 298050 현재 「HS효성첨단소재」,,B,B,O,1
휘닉스소재,B,050090,비케이홀딩스,1,2021:1,mid(웹 단독),웹:agent1,코드 050090 현재 「비케이홀딩스」,,C,B,X,0
흥아해훈,A,003280,흥아해운,1,2023:1,high(채널 3),동일글오타쌍+문자열+웹:agent2,코드 003280 현재 「흥아해운」,,A,A,O,1
